Session ID,Start Time,End Time,Duration (s),Emotion Value,Latitude,Longitude,Video File Path
"session_1764189236871_bvl1gsln8","2025-11-26T20:33:56.871Z","2025-11-26T20:35:02.110Z",60,5,25.0158792,121.5346299,"file:///data/user/0/com.spiketren.exporoutermwe/cache/Camera/b9c2a26d-4c4b-4e3f-9803-92fba7d9fe9a.mp4"
"session_1764188897411_fkkeydq4l","2025-11-26T20:28:17.411Z","2025-11-26T20:29:22.142Z",59,1,25.0158792,121.5346299,"file:///data/user/0/com.spiketren.exporoutermwe/cache/Camera/317aacfd-dbcb-4cfd-a3b7-637aa10a3f36.mp4"
